boostclock,brand,chipmake,coreclock,gpu,memoryclock,memoryinterface,memorysize,memorytype,model,price,productname,rank,rating,url
,,,,,,,,,,785.59,MSI GeForce GTX 1060 DirectX 12 GTX 1060 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,1,Rating + 5,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-gaming-x-6g/p/N82E16814127963
,,,,,,,,,,799.99,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,4,Rating + 4,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-ventus-xs-6g-oc/p/N82E16814137396
,,,,,,,,,,785.59,MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,3,Rating + 5,https://www.newegg.com/msi-geforce-gtx-1650-gtx-1650-gaming-x-4g/p/N82E16814137417
,,,,,,,,,,785.59,MSI GeForce GT 710 DirectX 12 GT 710 2GD3H LP 2GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,53,Rating + 5,https://www.newegg.com/msi-geforce-gt-710-gt-710-2gd3h-lp/p/1FT-0009-001F4
,,,,,,,,,,799.99,"GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N207SGAMING OC-8GD Video Card",20,Rating + 4,https://www.newegg.com/gigabyte-geforce-rtx-2070-super-gv-n207sgaming-oc-8gd/p/N82E16814932212
,,,,,,,,,,785.59,MSI Gaming GeForce GT 710 2GB GDRR3 64-bit HDCP Support DirectX 12 OpenGL 4.5 Heat Sink Low Profile Graphics Card (GT 710 2GD3H LP),52,Rating + 5,https://www.newegg.com/msi-geforce-gt-710-gt-710-2gd3h-lp/p/1FT-0009-002E2
,,,,,,,,,,71.49,ETopSell ATI Rage XL 8MB/8 MB PCI 3D VGA Video Graphics Card,51,Rating + 4,https://www.newegg.com/p/1FT-001U-00018
,,,,,,,,,,63.00,EVGA GeForce GTX 1050 Ti SSC GAMING ACX 3.0 Graphics Card 04G-P4-6255-KR,483,Rating + 5,https://www.newegg.com/evga-04g-p4-6255-kr/p/1FT-001K-00741
,,,,,,,,,,809.90,PNY GeForce RTX 2060 Graphic Card - 1.37 GHz Core - 1.68 GHz Boost Clock - 6 GB GDDR6 - Full-height - Dual Slot Space Required,481,Rating + 4,https://www.newegg.com/p/N82E16814133791
,,,,,,,,,,63.00,2pcs R9 285/270/380 GPU Cooler Graphics Card Fan For GIGABYTE GV-R938WF2OC GV-R9285WF2OC-2GD GV-R927OC-2GD Cooling,482,Rating + 5,https://www.newegg.com/p/0ZK-08UH-045C4
,,,,,,,,,,"2,352.79","EVGA GeForce RTX 2080 Super Xc Hybrid Gaming Video Card,08G-P4-3188-KP,8GB GDDR6, RGB LED Logo, Metal Backplate - Open.Box",487,Rating + 4,https://www.newegg.com/p/1FT-00AC-00027
,,,,,,,,,,119.97,VisionTek Radeon HD 6570 Graphic Card - 650 MHz Core - 2 GB DDR3 SDRAM - 128 bit Bus Width - Fan Cooler - DirectX 11.0 - 1 x HDMI - 1 x Total Number of DVI (1 x DVI-D) - Dual Link DVI Supported - PC -,485,Rating + 4,https://www.newegg.com/visiontek-aa520211/p/1FT-001W-00088
,,,,,,,,,,475.99,VisionTek Radeon HD 5570 DirectX 11 900901 1GB 128-Bit DDR3 PCI Express 2.0 x16 Small Form Factor (SFF) Video Cards,489,Rating + 5,https://www.newegg.com/visiontek-radeon-hd-5570-900901/p/N82E16814129326
,,,,,,,,,,119.97,1GB OPTIPLEX 740 745 750 755 760 780 790 960 980 990 SFF Video Graphics VGA Card,484,Rating + 4,https://www.newegg.com/p/1FT-000E-001G9
,,,,,,,,,,"2,352.79",EVGA GeForce GT 740 Superclocked DirectX 12 (feature level 11_0) 02G-P4-2742-KR 2GB 128-Bit DDR3 PCI Express 3.0 Video Card,486,Rating + 4,https://www.newegg.com/evga-geforce-gt-740-superclocked-02g-p4-2742-kr/p/N82E16814487045
,,,,,,,,,,809.90,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,480,Rating + 4,https://www.newegg.com/msi-radeon-rx-570-rx-570-armor-mk2-8g-oc/p/N82E16814137291
,,,,,,,,,,53.00,2GB FOR HP PAVILION Low Profile Half Height Size PCIe x16 Video Graphics VGA Card,479,Rating + 4,https://www.newegg.com/p/1FT-002U-000J2
,,,,,,,,,,475.99,EVGA GeForce GT 630 DirectX 12 (feature level 11_0) 02G-P3-2639-KR 2GB 128-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Video Card,477,Rating + 5,https://www.newegg.com/evga-geforce-gt-630-02g-p3-2639-kr/p/N82E16814130821
,,,,,,,,,,53.00,2GB OPTIPLEX 7010 990 980 960 790 780 DELL Half Height Low Profile Video Card,478,Rating + 4,https://www.newegg.com/p/1FT-009W-00002
,,,,,,,,,,48.55,MSI GeForce 210 DirectX 10.1 N210-MD1G/D3 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card,475,Rating + 3,https://www.newegg.com/msi-geforce-210-n210-md1g-d3/p/1FT-0009-002E7
,,,,,,,,,,475.99,"GIGABYTE GeForce GT 1030 Slience Low Profile 2GB, GV-N1030SL-2GL",476,Rating + 5,https://www.newegg.com/gigabyte-geforce-gt-1030-gv-n1030sl-2gl/p/N82E16814125973
,,,,,,,,,,"2,352.79",Strix GTX 1650 OC Edition 4GB GDDR6,473,Rating + 4,https://www.newegg.com/p/1FT-000Y-004S7
,,,,,,,,,,48.55,Visiontek Radeon HD 5570 SFF 1GB 900345 DDR3 4M VHDCI DVI (4 x DVI-D) Video Graphics Card,474,Rating + 3,https://www.newegg.com/visiontek-radeon-hd-5570-900345/p/27N-001B-00130
,,,,,,,,,,63.00,"PNY GeForce GTX 1650 SUPER Single Fan - Graphics card - GF GTX 1650 SUPER - 4 GB GDDR6 - PCIe 3.0 x16 - DVI, HDMI, Displ",538,Rating + 5,https://www.newegg.com/p/1FT-000P-003S0
,,,,,,,,,,63.00,PowerColor Radeon RX 6900 XT DirectX 12 AXRX 6900XT 16GBD6-M2DHC 16GB 256-Bit GDDR6 PCI Express 4.0 ATX Video Card,536,Rating + 5,https://www.newegg.com/powercolor-radeon-rx-6900-xt-axrx-6900xt-16gbd6-m2dhc/p/N82E16814131774
,,,,,,,,,,63.00,ASUS Dual GeForce RTX 2060 DirectX 12 DUAL-RTX2060-O6G-EVO 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,534,Rating + 5,https://www.newegg.com/asus-geforce-rtx-2060-dual-rtx2060-o6g-evo/p/N82E16814126382
,,,,,,,,,,63.00,ASUS Dual GeForce RTX 2070 SUPER DUAL-RTX2070S-A8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,533,Rating + 5,https://www.newegg.com/asus-geforce-rtx-2070-super-dual-rtx2070s-a8g-ev/p/N82E16814126394
,,,,,,,,,,63.00,Sapphire 11293-10-40G NITRO+ RX 5700 XT BE 8G GDDR6 HDMI/3DisplayPort PCI-Express 4.0 Video Card,537,Rating + 5,https://www.newegg.com/p/27N-0005-00188
,,,,,,,,,,809.90,MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card (GTX 1660 Super Gaming X),535,Rating + 4,https://www.newegg.com/p/2YM-005R-00007
,,,,,,,,,,809.90,Colorful GeForce RTX 2080SUPER Gaming ES 1815MHz/15.5Gbps Display Card GDDR6 8G E-sports Gaming Computer Graphics Card,532,Rating + 4,https://www.newegg.com/p/1FT-005B-00074
,,,,,,,,,,63.00,"SAPPHIRE NITRO+ Radeon RX 6800 XT DirectX 12 11304-01-20G 16GB 256-Bit GDDR6 PCI Express 4.0 ATX SE Gaming Graphics Card, AMD RDNA 2",527,Rating + 5,https://www.newegg.com/sapphire-radeon-rx-6800-xt-11304-01-20g/p/N82E16814202390
,,,,,,,,,,809.90,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-O8G-EVO-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,531,Rating + 4,https://www.newegg.com/p/1FT-000Y-004W2
,,,,,,,,,,"2,352.79",PNY GeForce RTX 2080 SUPER XLR8 Gaming OC 3F 8 GB GDDR6 Graphics Card (VCG20808STFMPB-O),530,Rating + 4,https://www.newegg.com/p/1FT-000P-003P1
,,,,,,,,,,119.97,MSI G103024PC GT 1030 2GD4 LP OC NVIDIA 2G GDDR4 PCIE3,529,Rating + 4,https://www.newegg.com/p/1FT-0009-00333
,,,,,,,,,,"2,352.79",NVIDIA GeForce GTX Titan Xp Graphic Card - 1.42 GHz Core - 1.58 GHz Boost Clock - 12 GB GDDR5X - Dual Slot Space Required,524,Rating + 4,https://www.newegg.com/p/1FT-0004-00266
,,,,,,,,,,809.90,"EVGA GeForce GTX 1080 Ti SC Black Edition Gaming, 11GB GDDR5X, iCX Cooler & LED, Optimized Airflow Design, Interlaced Pin Fin Graphics Card 11G-P4-6393-KR (Renewed)",526,Rating + 4,https://www.newegg.com/p/1YF-00D3-00038
,,,,,,,,,,63.00,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1656OC-4GL 4GB 128-Bit GDDR6 PCI Express 3.0 x16 Low Profile Ready Video Card,528,Rating + 5,https://www.newegg.com/gigabyte-geforce-gtx-1650-gv-n1656oc-4gl/p/N82E16814932298
,,,,,,,,,,809.90,MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,525,Rating + 4,https://www.newegg.com/msi-geforce-rtx-2080-super-rtx-2080-super-gaming-x-trio/p/1FT-0009-00448
,,,,,,,,,,63.00,ASUS ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),519,Rating + 5,https://www.newegg.com/asus-radeon-rx-5700-xt-rog-strix-rx5700xt-o8g-gaming/p/N82E16814126344
,,,,,,,,,,63.00,ASUS GeForce GTX 1660 Super Overclocked 6GB Dual-fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-GTX1660S-O6G-EVO),520,Rating + 5,https://www.newegg.com/asus-geforce-gtx-1660-super-dual-gtx1660s-o6g-evo/p/N82E16814126352
,,,,,,,,,,"2,352.79",MAXSUN GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI ITM6G 1500-1770MHz 192-Bit 6GB GDDR6 PCI Express 3.0 x16 Video Card  HDMI DP DVI Gaming Graphics Card GTX 1660 TI  GPU Terminitor v0,523,Rating + 4,https://www.newegg.com/maxsun-geforce-gtx-1660-ti-gtx-1660ti-tm6gv0/p/1FT-009J-00012
,,,,,,,,,,119.97,EVGA GeForce 1050 Ti Graphic Card - 1.35GHz Core - 1.47GHz Boost Clock - 4GB,522,Rating + 4,https://www.newegg.com/p/1FT-001K-002J6
,,,,,,,,,,809.90,NVIDIA GeForce RTX 2080 Ti Graphic Card - 1.35 GHz Core - 1.64 GHz Boost Clock - 11 GB GDDR6 - Dual Slot Space Required,518,Rating + 4,https://www.newegg.com/p/1FT-0004-002R1
,,,,,,,,,,809.90,ASUS ROG-STRIX-RTX2070S-A8G-GAMING GeForce RTX 2070 SUPER DirectX 12 90YV0DI1-M0NA00 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,517,Rating + 4,https://www.newegg.com/asus-geforce-rtx-2070-super-90yv0di1-m0na00/p/N82E16814126373
,,,,,,,,,,63.00,SAPPHIRE PULSE Radeon RX 5700 XT 11293-01-20G 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,511,Rating + 5,https://www.newegg.com/sapphire-radeon-rx-5700-xt-11293-01-20g/p/N82E16814202367
,,,,,,,,,,63.00,ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),512,Rating + 5,https://www.newegg.com/asus-geforce-rtx-2060-dual-rtx2060-o6g-evo/p/N82E16814126349
,,,,,,,,,,809.90,SAPPHIRE NITRO+ Radeon RX Vega 56 DirectX 12 100420NT+LESR 8GB 2048-Bit HBM2 PCI Express 3.0 CrossFireX Support ATX Video Card,509,Rating + 4,https://www.newegg.com/sapphire-radeon-rx-vega-56-100420nt-lesr/p/N82E16814202305
,,,,,,,,,,"2,352.79",Hpe Quadro Rtx 6000 Graphic Card - 24 Gb Gddr6,515,Rating + 4,https://www.newegg.com/p/1FT-0068-00007
,,,,,,,,,,"2,352.79","EVGA 08G-P4-3182-KR GeForce RTX 2080 Super XC Gaming, 8GB GDDR6, RGB LED, Metal Backplate",516,Rating + 4,https://www.newegg.com/p/1YF-00D3-00027
,,,,,,,,,,63.00,"SAPPHIRE NITRO+ Radeon RX 6800 XT DirectX 12 11304-02-20G 16GB 256-Bit GDDR6 PCI Express 4.0 ATX Gaming Graphics Card, AMD RDNA 2",504,Rating + 5,https://www.newegg.com/sapphire-radeon-rx-6800-xt-11304-02-20g/p/N82E16814202391
,,,,,,,,,,"2,352.79","PNY GeForce RTX 2070 SUPER Mini - Graphics card - GF RTX 2070 SUPER - 8 GB GDDR6 - PCIe 3.0 x16 - HDMI, 3 x DisplayPort",508,Rating + 4,https://www.newegg.com/p/1FT-000P-003U3
,,,,,,,,,,"2,352.79",Colorful iGame GeForce RTX 2080 SUPER Advanced OC Graphics Card 8Pinx2 GDDR6 Video Card  HDMI *1 DP *3 Type-C* 1,507,Rating + 4,https://www.newegg.com/p/1FT-005B-00077
,,,,,,,,,,809.90,"EVGA GeForce RTX 2070 Super KO Gaming, 08G-P4-2072-KR, 8GB GDDR6, Dual Fans",510,Rating + 4,https://www.newegg.com/p/1YF-00D3-00032
,,,,,,,,,,119.97,MSI GT 710 1GD3H LPV1  NVIDIA GeForce GT 710 1GB DDR3 VGADVIHDMI Low Profile PCI-Express Video Card,506,Rating + 4,https://www.newegg.com/p/0ZK-004P-000Y0
,,,,,,,,,,119.97,HP INC. - NSB OPTIONS 5JW82AA AMD RADEON R7 430 2GB 2DISPLAY,505,Rating + 4,https://www.newegg.com/p/1FT-0014-002H1
,,,,,,,,,,63.00,Number9 SR9 16MB VGA 4x AGP Video Card New SR9-16,503,Rating + 5,https://www.newegg.com/p/27N-0056-00021
,,,,,,,,,,809.90,"GIGABYTE Radeon RX 5600 XT WINDFORCE OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-R56XTWF2OC-6GD Video Card",502,Rating + 4,https://www.newegg.com/gigabyte-radeon-rx-5600-xt-gv-r56xtwf2oc-6gd/p/N82E16814932246
,,,,,,,,,,809.90,"ASUS DUAL-RTX2070S-O8G-EVO - Overclocked Edition - graphics card - GF RTX 2070 SUPER - 8 GB GDDR6 - PCIe 3.0 x16 - HDMI,",501,Rating + 4,https://www.newegg.com/p/1FT-000Y-004H4
,,,,,,,,,,"2,352.79",MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER GAMING X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,498,Rating + 4,https://www.newegg.com/msi-geforce-rtx-2070-super-rtx-2070-super-gaming-x-trio/p/1FT-0009-00444
,,,,,,,,,,"2,352.79",ASUS ROG STRIX GeForce RTX 2080 SUPER Advanced Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C Gaming Graphics Card (ROG-STRIX-RTX2080S-A8G-GAMING),499,Rating + 4,https://www.newegg.com/p/1FT-000Y-004W1
,,,,,,,,,,119.97,Dell nVidia Geforce GT720 1GB Video Card for Dell Optiplex Inspiron XPS Tower PC,496,Rating + 4,https://www.newegg.com/p/1FT-002U-000H5
,,,,,,,,,,119.97,HP INC. 2TF08AT SBUY RADEON PRO WX 3100 4GB GRAPHICS,497,Rating + 4,https://www.newegg.com/p/1FT-0014-000Z0
,,,,,,,,,,809.90,MSI GTX 1050 Ti 4 GT OC Computer Video Card MSI GTX 1050 TI 4GT OC,493,Rating + 4,https://www.newegg.com/msi-nvidia-geforce-gtx-1050-ti/p/1FT-0009-004V0
,,,,,,,,,,63.00,MAXSUN GeForce GT 710 DirectX 12 GT 710 HHII2G 2GB 64-Bit DDR3 PCI Express 2.0 x16 Video Card HDMI+DVI+VGA,494,Rating + 5,https://www.newegg.com/p/1FT-009J-00028
,,,,,,,,,,63.00,"EVGA GeForce 210 Passive 1024 MB DDR3 PCI Express 2.0 DVI/HDMI/VGA Graphics Card, 01G-P3-1313-KR",495,Rating + 5,https://www.newegg.com/p/0VE-01PT-00017
,,,,,,,,,,809.90,[USE.D]Gigabyte Geforce GTX 1080 Ti 11GB Aorus Waterforce WB Xtreme Edition - Missing Plugs,492,Rating + 4,https://www.newegg.com/p/1FT-00AC-00035
,,,,,,,,,,"2,352.79",PowerColor VGA - AXRX 580 8GBD5-3DH/OC,472,Rating + 4,https://www.newegg.com/p/27N-003A-00022
,,,,,,,,,,53.00,Single Slot GEFORCE 2GB 2048MB PCIe x16 HDMI DVI VGA Desktop Video Graphics Card,490,Rating + 4,https://www.newegg.com/p/1FT-002U-000A0
,,,,,,,,,,119.97,EVGA NVIDIA GeForce GT 710 1GB DDR3  64-bit VGA/DVI/HDMI Low Profile PCI-Express Video Card,471,Rating + 4,https://www.newegg.com/p/1FT-001K-00701
,,,,,,,,,,119.97,nVidia Quadro 600 1GB DDR3 PCIe x16 DVI DisplayPort Video Graphics Card OEM,470,Rating + 4,https://www.newegg.com/p/1FT-0004-00175
,,,,,,,,,,63.00,2pcs/set R9-390/380 GPU VGA Cooler Graphics cards Fan For HIS R9 380 R9 390 IceQ X2 Video Card Cooling System As replacement,468,Rating + 5,https://www.newegg.com/p/0ZK-08UH-07GZ9
,,,,,,,,,,63.00,2pcs/set New CF9010H12S RX 480/470 VGA GPU Cooler Graphics Fan For XFX R9 390X/390 8G RX480 RX470 Video Card Cooling,469,Rating + 5,https://www.newegg.com/p/0ZK-08UH-07FZ3
,,,,,,,,,,809.90,DUAL-RX5500XT-O8G-EVO,466,Rating + 4,https://www.newegg.com/p/27N-000M-001H4
,,,,,,,,,,53.00,1GB OPTIPLEX SFF DT Half Height Size Length DELL Low Profile Video Graphics Card,465,Rating + 4,https://www.newegg.com/p/1FT-009W-00003
,,,,,,,,,,53.00,Video Graphics Card VOSTRO 270s 260s 230s 220s 200s Half Height Size Low Profile,464,Rating + 4,https://www.newegg.com/p/1FT-000X-000P8
,,,,,,,,,,809.90,ASUS TUF Gaming GeForce GTX 1660 Overclocked 6GB Dual-fan Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660-O6G-GAMING),467,Rating + 4,https://www.newegg.com/asus-geforce-gtx-1660-tuf-gtx1660-o6g-gaming/p/N82E16814126305
,,,,,,,,,,475.99,New GeForce FX5500 256 MB PCI Desktop Video Graphics Card Vga Nvidia Chipset,463,Rating + 5,https://www.newegg.com/p/1FT-00AS-00001
